smiles_gdb,smiles_b3lyp,atom_coords,vibrationalfrequence,A,B,C,miu,alpha,homo,lumo,gap,R2,zpve,Uo,U,H,G,Cv
O=C1NC=CO1,O=c1[nH]cco1,"O	0.0114807811	-0.0226584084	0.0028648289	-0.396627
C	-0.0356291321	1.1758295797	0.0101034337	0.492835
N	-1.1235105939	2.0223140547	0.0290620129	-0.361014
C	-0.7030196719	3.3515559387	0.0303489828	-0.104981
C	0.6340859591	3.3171497633	0.0120491151	-0.013427
O	1.070505494	2.0105220715	-0.0007953265	-0.204586
H	-2.0674369272	1.680010545	0.0399178887	0.27976
H	-1.3885132683	4.1807762713	0.0439017986	0.153452
H	1.3882389191	4.0835849343	0.0057790258	0.154589",218.9613	417.7203	505.2932	596.4054	693.2167	736.2023	773.4736	788.5167	894.8037	919.4458	1056.0541	1115.7364	1136.116	1188.9301	1370.6531	1413.8204	1657.68	1901.7066	3287.4193	3313.8165	3701.7282,9.20111,4.03528,2.80507,4.6537,39.72,-0.2215,0.0207,0.2422,425.4583,0.063077,-321.276274,-321.271636,-321.270692,-321.3041,16.761
O=C1OC=CO1,O=c1occo1,"O	0.002032296	0.0030976283	0.0031974156	-0.363377
C	-0.0140876365	1.1895787907	0.0095302424	0.515237
O	-1.132130105	1.9823079567	0.0287676638	-0.208503
C	-0.70689282	3.2954973827	0.0299074907	-0.038256
C	0.6212504111	3.3136373516	0.0121781075	-0.038257
O	1.0820030839	2.0125474282	-0.0008348254	-0.208502
H	-1.4620993684	4.0607448555	0.0440635469	0.170828
H	1.3553915189	4.0992229663	0.0064512184	0.170828",246.3333	523.9343	580.5667	726.5612	745.3743	787.9814	807.0881	901.0158	904.8425	1025.8061	1099.3809	1124.2091	1193.3319	1366.8089	1676.8818	1946.4611	3298.3953	3324.1173,9.39188,4.18355,2.8943,4.4195,36.02,-0.253,0.0027,0.2556,406.9334,0.050756,-341.145624,-341.141349,-341.140405,-341.173218,15.099
CC1=CC=CN1,Cc1ccc[nH]1,"C	-0.0184501063	1.5019778039	0.059236049	-0.502473
C	-0.0026410235	0.0124584639	-0.045787723	0.305008
C	-0.059280739	-0.8213315634	-1.1411393113	-0.21243
C	-0.0084609445	-2.1660889834	-0.6745161692	-0.136176
C	0.07788739	-2.1187727072	0.6954312625	-0.097851
N	0.0812280347	-0.7950406586	1.0653768825	-0.276251
H	0.894592172	1.8967517739	0.5231765849	0.123757
H	-0.0968401949	1.9425241084	-0.9372832987	0.13694
H	-0.8679524696	1.8688602759	0.6494899042	0.123523
H	-0.1299023538	-0.4951573603	-2.1680882928	0.084165
H	-0.0329711101	-3.0615067062	-1.2763237201	0.088182
H	0.1367957044	-2.9019875673	1.4339887744	0.109892
H	0.1366206504	-0.4615323196	2.0118842777	0.253716",104.0017	240.9926	328.0817	471.7822	629.3791	647.4552	653.536	706.3456	789.3416	846.0642	896.108	969.614	992.6791	1054.3886	1062.6594	1118.8285	1144.7436	1259.6914	1289.8946	1414.5156	1440.0549	1446.551	1480.7201	1493.607	1517.6288	1622.241	3013.4733	3055.9176	3121.6355	3237.386	3250.6867	3270.6016	3677.8953,8.61149,3.43237,2.49228,1.9162,55.77,-0.1934,0.0496,0.243,523.1127,0.109918,-249.397368,-249.391707,-249.390763,-249.42627,20.832
CC1=CC=CO1,Cc1ccco1,"C	0.0576320116	1.4794255377	0.0313054108	-0.488196
C	-0.0773455176	-0.0007654909	0.007787447	0.365365
C	-1.1210435502	-0.8452209389	-0.2154661926	-0.263076
C	-0.6040937178	-2.1783669651	-0.098114749	-0.168965
C	0.7147947951	-2.0423264804	0.1876191485	-0.019149
O	1.0530631596	-0.7250748692	0.2559100062	-0.174208
H	0.7774743646	1.8305686536	-0.7168748625	0.137506
H	-0.9085383323	1.9424110137	-0.1809804332	0.134576
H	0.4016949846	1.8374616365	1.0083881514	0.137499
H	-2.1363092026	-0.554783559	-0.4369136994	0.102961
H	-1.1450627285	-3.104630331	-0.2119008245	0.107191
H	1.5165154234	-2.739985187	0.3643811874	0.128495",125.512	243.9816	334.3179	615.2458	643.5173	659.9235	740.2806	800.193	844.6066	902.9768	940.8561	992.9806	1038.9544	1065.51	1116.7685	1183.1065	1242.5065	1254.6343	1410.1862	1418.9642	1473.0489	1490.6102	1546.339	1642.7706	3029.6646	3079.4384	3128.5805	3248.9984	3260.627	3285.162,8.84271,3.54533,2.57115,0.5222,51.86,-0.2124,0.0239,0.2363,501.9826,0.097415,-269.267574,-269.262222,-269.261277,-269.2962,19.38
CC1=CN=CO1,Cc1cnco1,"C	0.061519571	1.4887348724	0.0614162178	-0.49193
C	-0.0670011247	0.0120213615	-0.002200659	0.335736
C	-1.0723550209	-0.8556339208	-0.2755561587	-0.184998
N	-0.6041670808	-2.1630540696	-0.1844937057	-0.255093
C	0.6387965307	-2.0243802495	0.1336928547	0.07181
O	1.0503800958	-0.7406585501	0.2652447437	-0.174526
H	0.8041778215	1.8588557866	-0.654004094	0.14371
H	-0.8996213375	1.9515950441	-0.1731079385	0.142375
H	0.3690432318	1.8230390701	1.0584275472	0.143702
H	-2.0971453052	-0.6367967175	-0.5308070155	0.121482
H	1.3789740683	-2.7900083273	0.305280678	0.147732",142.0186	251.1687	328.9714	646.2071	665.8194	670.9882	832.6002	852.0041	941.0121	955.0824	1023.3071	1068.2972	1125.9319	1134.2549	1237.0088	1259.9764	1351.386	1418.8122	1472.9044	1488.4693	1555.9546	1644.9283	3033.9941	3086.6205	3129.994	3262.9654	3276.1895,9.35773,3.58145,2.6326,2.0636,47.63,-0.2364,0.0066,0.243,481.0455,0.086244,-285.328258,-285.323118,-285.322174,-285.356714,18.024
CC1=NC=CO1,Cc1ncco1,"C	-0.017942713	1.4628855208	0.0636415583	-0.485065
C	-0.0110345865	-0.0180128633	-0.0567600228	0.390486
N	-0.1736332169	-0.74420077	-1.1181627783	-0.297274
C	-0.0750521932	-2.055410128	-0.6651301741	-0.112413
C	0.1454508912	-2.0472175622	0.6679085041	-0.040063
O	0.189639322	-0.7424192224	1.0767559243	-0.170479
H	0.9356281844	1.8310878716	0.4559172702	0.145905
H	-0.1890591487	1.8961931892	-0.9218643812	0.157784
H	-0.8065186987	1.7995380635	0.7445154824	0.145906
H	-0.1703938781	-2.8965621105	-1.3329823207	0.122545
H	0.2847952977	-2.7958950285	1.428224478	0.142668",100.427	255.445	347.1485	629.413	688.2908	695.9879	761.1163	863.883	933.6503	935.2077	1009.4815	1067.2194	1113.5146	1145.0865	1166.82	1252.1355	1378.5183	1414.7053	1476.2045	1481.1159	1559.9075	1625.9335	3045.0553	3099.3502	3158.5541	3264.1362	3301.7017,9.16324,3.7188,2.68951,1.3368,47.52,-0.2371,0.0082,0.2453,474.9666,0.086046,-285.330157,-285.32495,-285.324006,-285.358812,18.156
NC1=CC=CN1,Nc1ccc[nH]1,"N	0.1369871027	1.4094899029	0.1334153222	-0.609529
C	-0.021138292	0.0079430079	0.0397793482	0.266485
C	-1.1207967775	-0.8211858867	-0.0128278109	-0.199941
C	-0.6411619631	-2.1634272155	-0.0381640563	-0.133761
C	0.731277805	-2.1139361333	-0.0102754921	-0.10011
N	1.0968025565	-0.7889476971	0.0425749733	-0.242656
H	0.2775428415	1.8404775669	-0.7765962167	0.241677
H	-0.6887908669	1.8318514135	0.540514409	0.244982
H	-2.1504794295	-0.4979575424	-0.0442498676	0.078221
H	-1.2394004026	-3.0606003292	-0.0850879417	0.087684
H	1.4733431851	-2.8954180062	-0.0254361687	0.109983
H	2.0300430107	-0.4317906308	0.1523906813	0.256965",107.0184	266.217	387.573	492.1443	631.5732	644.4925	679.3859	697.1958	775.3192	827.3207	845.2486	894.326	986.8941	1051.0854	1106.5204	1143.351	1172.0719	1280.0423	1301.1403	1430.7997	1473.5821	1507.8946	1615.8475	1657.2184	3236.35	3249.8617	3271.5756	3483.8303	3587.3926	3680.1686,8.80085,3.53327,2.54719,1.5102,51.62,-0.185,0.0556,0.2406,495.5949,0.099063,-265.441614,-265.436072,-265.435128,-265.470365,20.507
NC1=CC=CO1,Nc1ccco1,"N	0.0858048027	1.3721077925	0.1782977321	-0.591461
C	-0.0669354776	-0.0026083729	0.0522043128	0.383535
C	-1.1488933755	-0.8314009072	0.0026994357	-0.268092
C	-0.6113298894	-2.1649097249	-0.0271532828	-0.151175
C	0.7359948569	-2.0439149265	0.0006541485	-0.033409
O	1.0848604964	-0.7129665788	0.0523979422	-0.172148
H	0.9273441168	1.7109274719	-0.2710933093	0.254767
H	-0.7220473758	1.8836401313	-0.1487347053	0.254763
H	-2.1861088501	-0.5382827181	-0.0104121231	0.092969
H	-1.1692446499	-3.0875084325	-0.0694905217	0.103816
H	1.5594150655	-2.7364409748	-0.0105854791	0.126435",175.0737	282.9198	396.3317	605.3969	646.0864	670.8266	692.173	737.9148	761.8541	835.3707	899.6301	963.3009	1022.2885	1073.2075	1123.7973	1179.4632	1266.6775	1308.3789	1457.1466	1565.9329	1622.3038	1667.8448	3250.8845	3265.1202	3297.5031	3544.1951	3645.3827,9.03471,3.7,2.63327,1.5774,48.3,-0.1844,0.0397,0.2241,472.7151,0.086472,-285.313612,-285.308395,-285.307451,-285.341898,19.374
NC1=CN=CO1,Nc1cnco1,"N	0.1019390283	1.3792594853	0.1861357863	-0.593716
C	-0.0518325876	0.0107534698	0.0473779884	0.352856
C	-1.1058733474	-0.8458485657	-0.0263346487	-0.18461
N	-0.617598452	-2.1518690151	-0.0507354907	-0.244057
C	0.6606812456	-2.0232161092	0.0003334688	0.062882
O	1.092678363	-0.7251568608	0.0664700047	-0.170914
H	0.9127962902	1.739420774	-0.3014955461	0.260526
H	-0.7290636718	1.8923386382	-0.073544906	0.260794
H	-2.1599787359	-0.6261120959	-0.0626426722	0.110524
H	1.4263675677	-2.7813337506	-0.0075398545	0.145717",183.9983	296.0971	393.1131	644.2882	669.5996	692.4156	743.3206	779.9644	784.3499	938.6842	981.977	1095.7849	1100.0329	1130.0473	1271.1059	1286.7348	1420.6455	1572.1111	1620.4163	1673.8744	3270.7628	3287.4372	3544.8152	3646.0654,9.58198,3.73874,2.69846,2.9659,44.3,-0.2049,0.0202,0.2251,451.8468,0.075243,-301.373496,-301.368495,-301.36755,-301.401649,18.0
NC1=NC=CO1,Nc1ncco1,"N	0.0511765992	1.3395418917	0.1602462928	-0.583753
C	-0.0471346269	-0.0246487616	0.0471980751	0.461038
N	-1.1240440101	-0.7479157014	0.0102903533	-0.335518
C	-0.636291348	-2.0544299879	-0.0208430754	-0.102677
C	0.7113374868	-2.0411985751	-0.009141511	-0.052831
O	1.1132335421	-0.7166095962	0.037132772	-0.180761
H	0.8794901277	1.7398888991	-0.2552407358	0.264342
H	-0.800291496	1.8146105134	-0.1000211577	0.271336
H	-1.3016756023	-2.9025864727	-0.0538524781	0.11977
H	1.4957697874	-2.7760947594	-0.0297085353	0.139055",283.5545	307.2282	416.5505	598.4079	618.3336	696.3567	732.4204	770.8502	862.3973	931.1806	958.082	1056.0152	1105.017	1152.744	1197.3177	1296.4869	1448.1772	1581.219	1604.6279	1680.6449	3262.339	3310.7648	3576.5155	3684.9623,9.35884,3.9125,2.76625,1.8589,43.86,-0.2088,0.0284,0.2373,444.8744,0.075481,-301.381127,-301.376265,-301.375321,-301.409022,17.958
OC1=CC=CN1,Oc1ccc[nH]1,"O	0.1106674362	1.3395310627	0.2117186716	-0.435782
C	0.0727192679	-0.002051831	-0.0016206979	0.370375
C	0.0809254075	-0.7825799411	-1.132474306	-0.286802
C	0.021885838	-2.1405474845	-0.6837340765	-0.124046
C	-0.0189381249	-2.1334491607	0.6851731918	-0.10318
N	0.0127612596	-0.8110841892	1.094399189	-0.277124
H	0.1541019244	1.7775710341	-0.6432123238	0.306821
H	0.1234033203	-0.4304291157	-2.1514928314	0.082563
H	0.01144585	-3.0182800805	-1.3113149004	0.090653
H	-0.0672442296	-2.9323970326	1.4058183179	0.112299
H	-0.0047650993	-0.4750871014	2.0411111357	0.264224",216.6284	285.1347	409.034	435.828	619.6901	636.8576	677.8691	690.8469	736.19	827.8333	891.8881	993.5906	1044.8013	1099.7648	1142.7117	1172.8121	1274.9496	1332.3309	1417.4149	1530.0107	1541.4428	1631.5807	3241.0429	3254.2696	3280.1933	3688.4539	3851.9146,8.91138,3.62931,2.57898,0.9982,47.38,-0.1814,0.0635,0.2449,474.5019,0.0864,-285.320198,-285.314886,-285.313942,-285.348469,19.901
OC1=CN=CN1,Oc1cnc[nH]1,"O	0.114461491	1.350119905	0.2152030541	-0.433263
C	0.07332918	0.0129344505	0.0032687066	0.358295
C	0.0776309623	-0.8015496878	-1.0981976451	-0.213633
N	0.0184319312	-2.1238248043	-0.6969565349	-0.241259
C	-0.0205120527	-2.1011226968	0.6089495301	0.009415
N	0.0108864053	-0.8149840425	1.0932893989	-0.289648
H	0.157457086	1.7926474026	-0.6379727847	0.312152
H	0.119164693	-0.5214360219	-2.1394911247	0.098799
H	-0.0709681805	-2.9568779431	1.2645592403	0.127907
H	-0.0073527155	-0.5110280517	2.0524576694	0.271235",228.1702	306.8561	404.6953	492.3325	667.5651	682.0996	687.8804	771.8905	777.8181	927.1976	1032.0743	1093.2241	1132.4462	1168.5125	1282.4077	1298.6012	1398.1257	1494.0201	1538.9209	1634.7212	3245.8257	3256.3179	3665.8119	3846.0995,9.43187,3.67479,2.64447,2.938,43.45,-0.2022,0.0448,0.247,453.0651,0.075256,-301.377995,-301.372972,-301.372028,-301.40609,18.316
OC1=NC=CN1,Oc1ncc[nH]1,"O	0.1115516646	1.31437064	0.1706596492	-0.423674
C	0.074738425	-0.021755286	0.0256779697	0.447467
N	0.1056148394	-0.6922873571	-1.0935581052	-0.356768
C	0.0437852446	-2.021714386	-0.7014996734	-0.082509
C	-0.0240030095	-2.1275438141	0.6556390053	-0.113477
N	-0.0028514919	-0.8158043987	1.1222484845	-0.291863
H	0.165528295	1.6779540998	-0.7220664542	0.314439
H	0.0522997421	-2.8169097812	-1.4304333599	0.108483
H	-0.0832076586	-2.9670812219	1.3267600717	0.126039
H	-0.0380005709	-0.5033775748	2.0770347323	0.271863",297.8383	404.3757	424.2247	474.9369	634.3407	681.511	714.4295	738.9482	843.1931	927.4259	1010.9513	1078.6454	1131.909	1161.5047	1218.7955	1323.4223	1377.9512	1549.1648	1564.6414	1629.3746	3255.7746	3288.6814	3679.7358	3806.6013,9.27499,3.84435,2.71784,2.18,43.23,-0.2051,0.0505,0.2555,445.8144,0.075677,-301.389192,-301.38437,-301.383426,-301.417032,18.016
CC1=CNC=C1,Cc1c[nH]cc1,"C	-0.0185285333	1.5208244052	0.0156134847	-0.499877
C	0.002800672	0.0214744592	0.0139058472	0.287177
C	-0.0583896166	-0.7971608466	-1.0917423837	-0.174764
N	-0.0115217112	-2.1024565429	-0.6655548485	-0.230197
C	0.0790839808	-2.1368142711	0.7017537466	-0.07429
C	0.0901296459	-0.8380394	1.1513949498	-0.231784
H	0.8879312218	1.9407809128	0.4676101021	0.121653
H	-0.091265628	1.9157137458	-1.0021872551	0.115039
H	-0.8694191691	1.9156454867	0.5834484269	0.121653
H	-0.1309840756	-0.5556727798	-2.1406195342	0.108952
H	-0.0398971601	-2.9077221205	-1.2647611623	0.258437
H	0.1275686534	-3.0738703161	1.2329857804	0.113027
H	0.15382608	-0.5279811927	2.1839805562	0.084975",102.8087	260.1569	320.7376	450.9233	638.3814	641.3064	643.1104	683.8162	759.8152	825.7519	904.878	968.2928	1002.1315	1064.2037	1083.4294	1092.8505	1162.9554	1278.6248	1297.5428	1405.5805	1418.6924	1466.2731	1483.5011	1500.3934	1524.5866	1617.1391	3022.188	3069.2071	3101.0727	3237.5703	3254.7447	3267.0057	3691.9992,8.67353,3.34371,2.44992,1.6978,55.32,-0.1982,0.0533,0.2515,528.9258,0.109903,-249.395323,-249.38964,-249.388696,-249.424242,20.948
CC1=CNC=N1,Cc1c[nH]cn1,"C	0.0124243057	1.4993421387	0.037420275	-0.484714
C	0.0277784975	0.0065666317	-0.0288981041	0.292375
C	-0.1409468436	-0.8036621126	-1.1226441398	-0.182618
N	-0.0387001948	-2.0954273674	-0.6485884606	-0.22838
C	0.184178601	-2.011215083	0.6920029293	0.012012
N	0.2302272436	-0.7648823277	1.0990242066	-0.300132
H	0.9626545896	1.8865050452	0.4207498428	0.132046
H	-0.1605571392	1.9359461193	-0.9500893396	0.114067
H	-0.7740553877	1.8557245343	0.7113701151	0.132047
H	-0.3188525548	-0.5915778791	-2.1638940933	0.122865
H	-0.1149362584	-2.937629953	-1.1929350096	0.264442
H	0.303455901	-2.8872016464	1.3123989982	0.125992",107.6549	268.1881	335.6499	502.7879	654.0611	664.6811	691.4627	724.8093	817.872	949.8804	972.7803	1003.0458	1065.684	1095.3693	1134.9337	1247.6957	1289.9697	1348.6608	1416.0632	1456.4903	1476.0555	1491.6741	1528.9505	1606.5159	3034.2302	3088.5749	3114.5647	3248.2252	3272.1795	3670.6262,9.00788,3.50963,2.56569,3.3147,51.32,-0.2157,0.0376,0.2533,500.6403,0.098598,-265.457424,-265.451994,-265.45105,-265.486153,19.536
CC1=COC=C1,Cc1cocc1,"C	-0.0177756804	1.5234060237	0.0135854756	-0.501201
C	0.0011479748	0.026366108	0.01460421	0.247588
C	-0.0630406732	-0.8021104203	-1.0621482286	-0.09185
O	-0.0207762048	-2.1087962365	-0.6812714439	-0.14173
C	0.0739299007	-2.1150006969	0.6733440659	0.007285
C	0.0918208962	-0.8468664841	1.1559028116	-0.271718
H	0.8928608122	1.9371163369	0.4615681828	0.129841
H	-0.0960512719	1.9167285392	-1.0037741692	0.124563
H	-0.8647995927	1.9149933794	0.5882908152	0.129823
H	-0.1390274462	-0.6254737668	-2.1227182304	0.129327
H	0.1181438746	-3.0876505672	1.1349571678	0.132472
H	0.1604480807	-0.5552639754	2.192886593	0.105601",131.2677	266.6775	315.4459	622.1974	629.5537	642.7018	732.3297	777.1529	829.0165	892.0171	974.9444	1016.291	1058.8813	1065.6802	1099.1566	1204.7223	1268.5243	1282.8853	1400.5349	1420.4086	1483.2291	1498.444	1538.4143	1643.0578	3029.1634	3079.6965	3110.0457	3247.6862	3272.1037	3283.5305,8.94272,3.37005,2.48533,0.8398,51.11,-0.2183,0.025,0.2434,512.5694,0.097541,-269.263476,-269.25813,-269.257186,-269.292093,19.399
CC1=COC=N1,Cc1cocn1,"C	-0.0115450038	1.5002632076	0.0434035852	-0.487794
C	0.0026838551	0.0110236792	-0.0272936283	0.256376
C	-0.0774680933	-0.8100816436	-1.102477516	-0.107519
O	-0.0226615477	-2.1069819008	-0.6642472285	-0.138787
C	0.0896683237	-1.9935324196	0.6764717629	0.076911
N	0.1107441581	-0.7806298966	1.1186867263	-0.298087
H	0.9068365528	1.8773315888	0.5052723796	0.140804
H	-0.1019742959	1.9406459979	-0.9528066151	0.124262
H	-0.8489191874	1.8534988807	0.6541083353	0.140802
H	-0.1696517169	-0.6658941423	-2.1650236938	0.143671
H	0.1497966653	-2.9130275314	1.2375538624	0.149362",130.6225	271.7056	332.0305	636.9156	662.5923	679.3583	760.3814	848.296	936.1028	971.3869	1022.7021	1068.3033	1096.8356	1135.9237	1250.8482	1279.782	1342.6593	1418.4423	1475.2758	1489.8123	1559.5372	1638.547	3039.5695	3096.3897	3122.5747	3274.3027	3294.3304,9.29377,3.53254,2.60086,1.3204,47.12,-0.2395,0.0074,0.2468,485.0096,0.086195,-285.326726,-285.321574,-285.32063,-285.355221,18.123
NC1=CNC=C1,Nc1c[nH]cc1,"N	0.0152994741	1.433151856	0.1712481823	-0.603756
C	0.0131370027	0.027731517	0.0472256397	0.259703
C	-1.0857141183	-0.8050152042	0.0128184444	-0.168946
N	-0.6210921565	-2.1057706128	-0.0238998303	-0.228841
C	0.7434910348	-2.1101534785	-0.0222487599	-0.069941
C	1.1722539274	-0.8023173504	0.024239218	-0.210881
H	0.778213885	1.8551203434	-0.3438164957	0.237275
H	-0.8514313542	1.8465645319	-0.1494924452	0.234308
H	-2.1409259557	-0.5855874219	0.0201641162	0.099894
H	-1.2036883232	-2.9220752317	-0.0595941323	0.257699
H	1.2999424337	-3.0330021722	-0.0538644661	0.111878
H	2.1988219802	-0.4688563864	0.0489149888	0.081608",172.3715	295.6366	373.7305	392.4058	616.6409	625.1791	657.7439	669.1662	729.1694	788.2413	810.9339	899.7984	979.6446	1081.2995	1090.7248	1107.1399	1169.6869	1309.1889	1321.163	1439.149	1480.5261	1530.7915	1628.9364	1658.261	3240.5267	3261.8459	3268.5828	3526.2363	3613.0798	3700.0253,8.86789,3.46013,2.49766,1.8044,51.67,-0.1741,0.0558,0.2299,500.1351,0.098959,-265.43852,-265.432959,-265.432015,-265.467025,20.983
NC1=CNC=N1,Nc1c[nH]cn1,"N	0.0102841645	1.4041916096	0.1684985716	-0.594136
C	-0.0421263159	0.0113203294	0.0553080328	0.297781
C	-1.1373394933	-0.8203479281	0.0295734382	-0.185351
N	-0.6055163733	-2.1012380937	-0.0197703003	-0.224251
C	0.7433128076	-1.9806452063	-0.0179024221	0.015903
N	1.1203069845	-0.7193450038	0.0237846745	-0.300651
H	0.9205924262	1.7455508691	-0.1126292382	0.247288
H	-0.7157318845	1.8788789611	-0.3511006408	0.239372
H	-2.1979654564	-0.639551745	0.0503494911	0.114497
H	-1.1305669031	-2.9579120282	-0.0526919344	0.263539
H	1.4031221038	-2.8343855042	-0.0503555824	0.126008",215.0928	310.4651	394.7389	468.6484	636.785	649.2068	681.595	708.2901	784.4825	802.0786	948.4205	992.041	1082.1827	1096.3859	1155.0791	1263.0218	1325.2459	1388.099	1480.8684	1526.4587	1620.7887	1648.1694	3253.8658	3282.4022	3542.4359	3637.737	3675.5284,9.23894,3.65185,2.62644,3.0074,47.82,-0.1849,0.0391,0.2241,471.183,0.087869,-281.504579,-281.499371,-281.498427,-281.532762,19.414
NC1=COC=C1,Nc1cocc1,"N	0.0218640503	1.4302882792	0.1718161459	-0.60343
C	0.0118392001	0.033076455	0.0417921269	0.216966
C	-1.0591807201	-0.8101585342	-0.0050357322	-0.079845
O	-0.6369431572	-2.1137974213	-0.0425534739	-0.144014
C	0.7142162693	-2.0880692391	-0.0274694354	0.012882
C	1.1750997328	-0.8116853242	0.0262157117	-0.241944
H	0.7728919216	1.8622813016	-0.351335644	0.244352
H	-0.8553138019	1.8556302783	-0.0994625026	0.242686
H	-2.1251254197	-0.658702473	-0.0086162208	0.118902
H	1.203024726	-3.0480476915	-0.0587719956	0.131021
H	2.2063514687	-0.4954169908	0.0594081698	0.102423",217.1825	312.9549	373.4812	607.9051	631.5764	662.4447	681.6968	749.0072	776.0013	814.7644	885.7377	991.22	1063.0029	1090.7586	1110.6182	1223.83	1283.5762	1324.8091	1443.2044	1541.618	1645.956	1671.568	3248.7437	3278.712	3283.9231	3535.0771	3623.5432,9.15078,3.49098,2.53565,1.7218,47.62,-0.1947,0.029,0.2237,483.7409,0.086736,-285.306999,-285.301863,-285.300919,-285.33518,19.259
NC1=COC=N1,Nc1cocn1,"N	0.0265395295	1.3980323151	0.1701694311	-0.593498
C	-0.0415200514	0.0156041579	0.0513454989	0.269764
C	-1.1083719027	-0.8278334395	0.0049677536	-0.112546
O	-0.6139884259	-2.1160342644	-0.0396738566	-0.139353
C	0.7174499569	-1.9621587808	-0.0176955506	0.087545
N	1.1270964503	-0.7348721792	0.034549282	-0.298845
H	0.9154754344	1.754464029	-0.153920927	0.256215
H	-0.743111431	1.8912146971	-0.2596515704	0.248743
H	-2.1774626146	-0.7188263642	0.0011518368	0.133155
H	1.3157119945	-2.8593063411	-0.0469718877	0.14882",236.021	322.1768	394.6879	626.1553	651.6908	659.2046	704.1837	760.9043	840.0922	937.2008	1000.0522	1080.0621	1094.9751	1174.6887	1265.972	1331.3286	1387.1661	1556.6547	1632.043	1673.8013	3274.4202	3306.1241	3556.8866	3655.4435,9.54923,3.68153,2.66498,1.6737,43.75,-0.2057,0.0107,0.2164,455.3577,0.075457,-301.373831,-301.368911,-301.367967,-301.401842,17.986
OC1=CNC=C1,Oc1c[nH]cc1,"O	0.1081683513	1.3812088181	-0.112078899	-0.448596
C	0.0694617186	0.0172485259	-0.0363892442	0.319659
C	-0.007032459	-0.8110697596	-1.1326025537	-0.172937
N	-0.0250442353	-2.1057781548	-0.654887956	-0.226555
C	0.0384125677	-2.1062444106	0.7080150434	-0.063351
C	0.0985138062	-0.7952589388	1.1313550662	-0.281475
H	0.1598633143	1.7307679837	0.7816777498	0.294604
H	-0.0489432265	-0.586834977	-2.1843858265	0.115736
H	-0.0769769411	-2.9257661194	-1.2313251281	0.26145
H	0.0360022967	-3.0268571	1.2685551287	0.116604
H	0.156470307	-0.4569876876	2.1553224395	0.084862",204.9822	313.2771	401.0965	417.0932	622.0498	629.448	666.6938	672.5461	743.006	786.4598	895.5528	983.2348	1077.7543	1089.7978	1168.3377	1177.8761	1315.9419	1326.2541	1443.7976	1481.9336	1525.1689	1650.2819	3236.6688	3269.5485	3282.6969	3699.2864	3847.5905,8.97547,3.51643,2.52657,1.6811,47.51,-0.1864,0.05,0.2364,480.4033,0.086407,-285.316421,-285.311084,-285.31014,-285.344731,19.995
OC1=CNC=N1,Oc1c[nH]cn1,"O	0.1095254935	1.3546351369	-0.0671735928	-0.435078
C	0.0693130035	0.0040467256	-0.0758852208	0.34925
C	-0.0253600056	-0.8125716012	-1.1735584308	-0.202181
N	-0.0286606112	-2.0932810429	-0.6396215803	-0.225402
C	0.0615787438	-1.9795347921	0.7067952826	0.019083
N	0.1228039308	-0.7163216331	1.0829174506	-0.335469
H	0.1767406149	1.6125147771	0.8601282827	0.300159
H	-0.0876415553	-0.6183265456	-2.2289102191	0.129757
H	-0.0876271081	-2.9494081987	-1.1636024267	0.267777
H	0.0788557637	-2.835030516	1.3643031146	0.132106",323.2658	374.2503	420.6127	488.8606	649.5037	662.4039	699.3015	733.4934	797.0792	947.0834	999.9873	1081.4677	1144.9556	1178.6518	1277.9456	1327.0901	1400.2554	1483.6564	1526.4363	1662.0046	3258.6848	3297.9715	3674.9438	3804.4952,9.37443,3.72661,2.66657,2.8207,43.71,-0.2006,0.0315,0.2321,450.9127,0.075668,-301.385442,-301.380615,-301.379671,-301.413294,18.065
OC1=COC=N1,Oc1cocn1,"O	0.1162976117	1.3505544181	-0.0681299079	-0.424383
C	0.0681953682	0.0068946175	-0.079379807	0.324615
C	-0.0386930933	-0.8264088611	-1.1453532167	-0.135225
O	-0.0475743826	-2.1104085268	-0.6437639835	-0.134892
C	0.0547229829	-1.9595592046	0.6845456549	0.091968
N	0.1272247774	-0.7290683936	1.0880960918	-0.33542
H	0.1929395089	1.6166283776	0.8562745527	0.308461
H	-0.1119867448	-0.7082467877	-2.2097918075	0.149685
H	0.0666945218	-2.8566078395	1.2829652131	0.155192",324.7043	366.6	420.7497	637.2484	672.331	699.4585	736.0356	836.589	936.0595	1010.0687	1078.5649	1145.1913	1203.4265	1276.3215	1332.0727	1395.7914	1552.4547	1696.767	3278.3219	3320.1408	3805.6463,9.6847,3.7549,2.70582,0.4508,39.79,-0.2242,0.001,0.2252,435.5044,0.063161,-321.252793,-321.24821,-321.247265,-321.280543,16.639
